Date,Total counts,Cloudiness,Wind,Rain,Temp,Humidity,Time,PDO
01/09/2004,2385,3,3,1,,,PM,97
02/09/2004,2507,2,2,1,,,AM,
08/09/2004,1608,3,3,4,,,PM,85
09/09/2004,1621,2,2,1,,,AM,
10/09/2004,2435,3,2,1,,,PM,62
15/09/2004,2539,2,2,1,26,59,PM,94
16/09/2004,2032,2,2,1,24.5,93,AM,
22/09/2004,1959,2,2,1,24.4,95,PM,37
23/09/2004,1431,2,2,1,24,98,AM,
24/09/2004,2270,2,2,1,28.3,84,PM,90
29/09/2004,1803,3,3,3,27,79,PM,50
30/09/2004,1888,2,2,1,24.9,93,AM,
01/10/2004,1895,3,2,1,27.1,87,PM,34
06/10/2004,1532,3,2,1,28.2,84,PM,56
08/10/2004,1679,3,2,1,29.1,75,PM,95
13/10/2004,1760,2,2,1,29.2,82,PM,93
14/10/2004,1505,2,2,1,26,88,AM,
15/10/2004,1607,2,3,1,29.1,86,PM,93
20/10/2004,1603,3,3,1,29.1,83,PM,90
21/10/2004,1417,3,2,1,25.5,93,AM,
22/10/2004,1540,2,2,1,29.4,77,PM,100
27/10/2004,1531,3,2,1,29.8,70,PM,95
28/10/2004,921,3,2,1,24.2,94,AM,
03/11/2004,1422,3,2,1,,,PM,93
04/11/2004,1193,2,3,1,,,AM,
05/11/2004,1462,3,3,1,30.6,75,PM,99
10/11/2004,1782,2,2,1,28.4,81,PM,79
11/11/2004,1386,2,3,1,25.2,89,AM,
12/11/2004,1675,1,2,1,29.6,79,PM,98
17/11/2004,1328,2,3,1,29.6,78,PM,97
18/11/2004,1011,2,3,1,25.4,91,AM,
19/11/2004,1517,2,2,1,29.4,76,PM,98
24/11/2004,1138,3,3,3,27.6,82,PM,12
25/11/2004,1172,2,3,1,26,89,AM,
26/11/2004,1601,3,2,1,28.7,79,PM,92
01/12/2004,1216,2,2,1,29.1,76,PM,95
02/12/2004,1268,2,2,1,26.6,84,AM,
03/12/2004,1452,3,1,1,30.4,78,PM,53
08/12/2004,1485,2,2,1,28,81,PM,95
09/12/2004,1149,2,3,1,25.4,90,AM,
10/12/2004,1249,2,3,1,29.5,77,PM,99
15/12/2004,1403,2,3,1,29.3,78,PM,70
16/12/2004,1269,2,2,1,25.5,94,AM,
17/12/2004,1592,2,3,1,29.6,78,PM,89
20/12/2004,1641,3,2,3,29.3,83,PM,50
21/12/2004,1279,3,2,1,25.4,94,AM,
27/01/2005,1753,3,1,1,26.9,84,PM,91
28/01/2005,2039,2,2,1,27.9,82,AM,
03/02/2005,1590,3,2,1,27.5,84,PM,9
04/02/2005,1745,3,3,1,24.1,85,AM,
10/02/2005,2189,3,3,1,29.2,77,PM,3
11/02/2005,1998,2,2,1,27.3,89,AM,
17/02/2005,1321,3,2,3,24.9,93,PM,46
18/02/2005,2009,2,2,1,25.7,89,AM,
24/02/2005,1262,3,2,3,26.9,86,PM,37
25/02/2005,2108,2,2,1,24.9,96,AM,
03/03/2005,1836,3,2,1,27.9,87,PM,27
04/03/2005,2150,3,2,3,26.4,90,AM,
18/03/2005,2620,3,2,1,26.4,90,AM,
25/03/2005,2838,2,2,1,27.3,89,AM,
07/04/2005,2997,3,3,3,25.5,89,PM,5
08/04/2005,3915,2,2,1,25.8,92,AM,
12/04/2005,3427,3,2,1,27.1,86,PM,19
13/04/2005,3992,2,2,1,25.4,91,AM,
19/04/2005,4889,2,2,1,,,PM,86
20/04/2005,3885,3,2,1,,,AM,
26/04/2005,3932,3,2,1,28.7,77,PM,90
27/04/2005,4152,2,2,1,26,88,AM,
03/05/2005,3766,3,2,1,27,86,PM,93
04/05/2005,3878,2,2,1,26.5,89,AM,
10/05/2005,3979,2,3,1,29.4,83,PM,99
11/05/2005,3645,2,3,1,25.2,90,AM,
18/05/2005,5706,3,3,3,26.8,90,PM,7
19/05/2005,5397,3,2,1,26.3,91,AM,
24/05/2005,4311,3,2,1,27,81,PM,60
25/05/2005,5169,3,2,1,26.2,88,AM,
01/06/2005,4523,3,2,1,28.9,78,PM,87
02/06/2005,5501,2,2,1,24.9,94,AM,
08/06/2005,6634,2,2,1,29.7,74,PM,89
09/06/2005,8160,2,2,1,26,88,AM,
15/06/2005,7927,2,2,1,31.2,68,PM,99
16/06/2005,9603,2,2,1,24.3,87,AM,
23/06/2005,7239,2,2,1,25.9,83,AM,
01/07/2005,9192,2,2,1,27.3,78,PM,85
02/07/2005,9223,3,2,1,27,84,AM,
22/07/2005,8252,2,2,1,30.1,74,PM,99
23/07/2005,8943,2,2,1,26,81,AM,
29/07/2005,7440,2,2,1,30.7,77,PM,99.7
30/07/2005,8182,2,2,1,26,87,AM,
05/08/2005,6995,2,2,1,32.6,71,PM,99
19/08/2005,4676,2,2,1,28.2,85,PM,99
20/08/2005,6689,2,2,1,26.8,84,AM,
26/08/2005,3249,2,2,1,29.1,82,PM,95
27/08/2005,5144,2,2,1,23.3,87,AM,
02/09/2005,4145,3,2,1,31.5,71,PM,97
03/09/2005,3492,2,2,1,25.7,85,AM,
